@RELATION compas

@ATTRIBUTE attribute_0 {0,1}
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 {0,1}
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 {0,1}
@ATTRIBUTE attribute_14 {0,1}
@ATTRIBUTE attribute_15 {0,1}

@DATA
0,26,0,3,0,0,0,-1,1,0,3,3,0,0,1,0
1,35,0,8,0,0,10,85,122,0,8,4,10,0,0,1
0,44,0,2,0,0,1,-45,45,0,2,2,1,0,1,0
0,25,0,3,0,0,1,-13,13,0,3,4,1,0,1,1
1,30,0,7,0,0,1,213,548,0,7,5,1,0,1,0
1,24,0,-1,0,0,2,0,0,0,-1,6,2,0,1,0
1,28,0,5,0,0,0,-1,1,0,5,2,0,0,0,0
1,27,0,3,0,0,1,-1,1,0,3,3,1,0,0,0
0,25,0,7,0,0,5,-3,4,0,7,4,5,0,0,1
1,30,0,10,0,0,2,-1,1,0,10,9,2,0,1,0
1,19,1,7,0,1,1,-1,1,0,7,9,1,0,1,0
1,33,0,3,0,0,4,-45,45,0,3,4,4,0,1,0
1,41,0,5,0,0,10,-39,39,0,5,7,10,0,0,0
1,35,2,8,0,0,4,-1,1,0,8,4,4,0,1,0
0,24,0,3,0,0,0,0,1,0,3,2,0,0,0,1
1,62,0,8,0,0,13,-1,1,0,8,5,13,0,1,0
1,56,0,2,0,0,6,-1,1,0,2,1,6,0,1,1
1,22,0,3,0,1,2,0,0,0,3,6,2,0,1,0
1,24,0,6,0,0,5,16,504,0,6,4,5,0,0,0
0,22,0,8,0,0,0,-6,6,0,8,8,0,0,1,1
1,29,0,10,0,0,10,-1,1,0,10,8,10,0,1,0
0,56,0,2,0,0,1,-60,60,1,2,1,1,1,0,0
0,41,0,4,0,0,9,2,5,0,4,1,9,0,0,0
1,67,0,1,0,0,0,-1,1,0,1,1,0,0,0,0
1,22,0,4,0,0,0,-1,1,0,4,7,0,0,1,0
1,47,0,4,0,0,9,-1,1,0,4,2,9,0,1,1
1,28,0,7,0,0,7,-1,1,0,7,4,7,0,1,1
0,27,0,5,0,0,3,-1,1,0,5,3,3,0,1,0
0,24,0,4,0,0,1,-23,23,0,4,4,1,0,1,0
1,39,0,2,0,0,1,-4,4,0,2,1,1,0,1,0
1,28,0,10,0,0,0,-1,1,0,10,9,0,0,0,0
1,32,0,7,0,0,0,-1,1,0,7,4,0,0,0,0
1,47,0,1,0,0,0,-1,1,0,1,1,0,0,0,0
1,33,0,9,0,0,8,-165,165,0,9,4,8,0,1,0
0,36,0,3,0,0,3,53,95,0,3,1,3,0,0,0
1,24,2,9,1,0,10,-251,251,0,9,5,10,0,1,0
1,25,0,4,0,0,1,-18,18,0,4,4,1,0,1,0
1,58,0,7,0,0,9,-1,1,0,7,2,9,0,0,1
0,46,0,1,0,0,1,-30,30,0,1,1,1,0,0,0
1,57,0,1,0,0,2,-6,6,0,1,1,2,0,1,0
1,35,0,1,0,0,0,-1,1,0,1,1,0,0,0,0
1,32,0,3,0,0,0,-4,5,0,3,4,0,0,1,0
1,60,0,1,0,0,3,-60,60,0,1,1,3,0,0,0
1,24,0,5,0,0,0,-2,3,0,5,5,0,0,1,0
1,35,0,4,0,0,0,-1,1,0,4,3,0,0,1,1
1,21,0,5,0,0,0,-1,1,0,5,5,0,0,0,0
1,34,0,1,0,0,0,-1,1,1,1,1,0,1,1,0
1,38,0,1,0,0,0,-1,1,0,1,1,0,0,1,0
1,47,0,4,0,0,1,0,1,0,4,5,1,0,1,1
1,26,0,4,0,0,3,-1,1,0,4,3,3,0,1,1
1,54,0,9,0,0,28,-1,1,0,9,5,28,0,1,0
1,40,0,6,0,0,2,-1,1,0,6,2,2,0,0,1
1,35,0,6,0,0,29,-101,101,0,6,8,29,0,1,0
1,27,0,6,2,1,13,0,0,0,6,3,13,0,1,0
1,32,0,4,0,0,6,-1,1,0,4,2,6,0,1,0
1,36,0,3,0,0,5,17,795,0,3,2,5,0,1,1
0,34,0,2,0,1,0,-2,3,0,2,1,0,0,0,0
1,32,0,3,0,0,8,35,0,0,3,3,8,0,1,0
1,24,0,8,0,1,3,0,1,0,8,7,3,0,1,1
1,26,1,10,2,0,9,-1,1,0,10,6,9,0,1,0
1,57,0,1,0,0,6,47,96,0,1,1,6,0,0,0
1,70,0,1,0,0,0,-1,1,0,1,1,0,0,1,0
1,25,0,5,0,0,2,-1,1,0,5,4,2,0,1,0
1,26,0,6,0,0,1,-1,1,0,6,3,1,0,0,1
1,23,0,2,0,0,0,-1,1,0,2,3,0,0,1,0
1,42,0,5,0,0,3,-1,1,0,5,3,3,0,1,0
1,46,0,1,0,0,0,-1,1,0,1,1,0,0,0,0
1,26,0,8,0,0,1,-30,30,1,8,5,1,1,1,0
0,22,0,8,1,0,2,-1,1,0,8,8,2,0,1,0
1,42,0,1,0,0,0,0,0,0,1,1,0,0,1,0
1,26,0,2,0,0,0,-1,1,0,2,3,0,0,1,0
1,31,1,6,0,0,2,-1,1,0,6,6,2,0,0,0
1,46,0,1,0,0,1,-1,1,0,1,1,1,0,0,0
1,42,1,9,0,0,7,0,0,0,9,7,7,0,1,0
0,38,0,1,0,0,0,0,0,0,1,1,0,0,1,1
1,59,0,1,0,0,0,0,1,0,1,1,0,0,0,0
1,28,0,9,2,0,16,-1,1,0,9,9,16,0,1,0
1,29,4,9,1,0,10,-1,1,1,9,5,10,1,0,0
1,33,0,8,0,0,4,-1,1,0,8,3,4,0,1,0
1,26,0,10,0,0,13,0,1,0,10,10,13,0,1,0
1,24,0,3,0,0,2,-1,1,0,3,5,2,0,0,0
1,27,0,2,0,0,0,-1,1,0,2,2,0,0,0,1
0,41,0,8,0,0,8,0,0,0,8,4,8,0,1,0
1,31,0,4,0,0,9,181,352,0,4,2,9,0,1,0
1,24,0,9,0,0,0,-1,1,0,9,6,0,0,1,0
1,30,0,3,0,0,6,-10,10,0,3,2,6,0,1,0
1,50,1,2,0,0,5,29,169,0,2,1,5,0,1,0
1,30,0,8,0,0,4,0,1,0,8,4,4,0,0,1
1,50,0,1,0,0,12,-22,22,0,1,1,12,0,1,1
1,28,0,10,8,2,12,-1,1,0,10,7,12,0,1,0
1,29,0,3,0,0,4,-1,1,0,3,3,4,0,1,0
1,30,0,3,0,0,1,-1,1,0,3,2,1,0,0,0
1,28,0,3,0,0,2,-1,1,1,3,2,2,1,1,1
1,22,0,8,4,0,7,-11,7,0,8,9,7,0,1,0
1,19,3,10,0,0,3,74,252,0,10,10,3,0,1,0
1,29,0,3,0,0,1,0,0,0,3,3,1,0,0,0
1,28,0,8,0,0,0,-1,1,0,8,8,0,0,1,1
1,27,0,10,0,0,15,-1,1,0,10,5,15,0,1,0
1,42,0,4,0,0,8,-1,1,0,4,4,8,0,0,1
1,22,0,5,0,0,1,-1,1,0,5,5,1,0,0,0
1,26,0,5,0,0,0,-1,1,0,5,5,0,0,1,0
1,23,0,7,0,0,1,-1,1,0,7,6,1,0,1,0
1,31,0,9,0,0,8,-1,1,0,9,5,8,0,1,0
1,26,0,7,0,0,1,-1,1,0,7,6,1,0,0,0
1,28,0,4,0,0,1,0,1,0,4,5,1,0,1,1
1,56,0,1,0,0,5,-238,238,0,1,1,5,0,0,0
1,45,0,4,0,0,6,0,1,0,4,1,6,0,1,0
1,23,0,4,0,0,1,-1,1,0,4,5,1,0,1,1
1,23,0,5,2,0,3,-1,0,0,5,5,3,0,0,0
1,28,0,7,0,0,3,-1,1,0,7,7,3,0,0,0
1,20,0,6,0,1,2,-45,45,0,6,6,2,0,1,1
0,33,0,9,1,0,10,49,605,0,9,6,10,0,0,0
1,42,0,5,0,0,8,-1,1,0,5,2,8,0,1,1
1,22,0,9,0,0,1,0,1,0,9,7,1,0,1,0
0,30,0,6,0,0,1,40,216,0,6,2,1,0,0,0
1,48,0,7,0,0,1,-1,1,0,7,4,1,0,0,0
1,42,1,9,0,0,7,0,0,0,9,7,7,0,1,0
1,25,0,6,0,0,3,-1,1,0,6,4,3,0,1,0
1,59,0,7,0,0,10,-1,1,0,7,4,10,0,1,0
1,40,0,4,0,0,6,-1,1,0,4,2,6,0,0,0
0,44,0,5,0,0,1,-6,6,0,5,2,1,0,0,0
1,49,0,5,0,0,0,-1,1,0,5,4,0,0,1,0
1,20,2,8,0,0,2,-21,21,0,8,9,2,0,1,0
1,23,0,2,0,0,0,-1,2,0,2,4,0,0,0,1
1,53,0,1,0,0,2,-2,2,0,1,1,2,0,0,0
1,41,0,4,0,0,5,-6,6,0,4,6,5,0,1,1
1,30,0,4,0,0,10,0,0,1,4,5,10,1,1,0
1,48,0,6,0,0,9,-1,1,0,6,1,9,0,0,1
1,46,0,3,0,0,8,400,353,0,3,3,8,0,1,0
0,33,0,6,0,0,3,-2,2,1,6,2,3,1,0,0
1,42,0,1,0,0,1,-1,1,0,1,1,1,0,1,0
0,30,0,4,0,0,5,-1,1,0,4,3,5,0,0,0
1,64,0,10,0,0,8,-290,290,0,10,6,8,0,0,0
1,28,0,1,0,0,2,-1,1,0,1,2,2,0,0,0
1,22,0,4,0,1,1,-1,1,0,4,5,1,0,1,0
1,26,0,10,2,0,13,-69,41,0,10,10,13,0,1,0
1,44,0,7,0,0,0,-1,1,0,7,2,0,0,0,0
1,23,0,7,0,0,0,0,1,0,7,5,0,0,1,0
1,31,1,6,0,0,2,-1,1,0,6,6,2,0,0,1
1,27,0,3,1,0,1,0,0,0,3,3,1,0,0,1
0,35,0,6,0,0,4,-24,24,0,6,1,4,0,1,0
1,25,0,2,0,0,0,0,1,1,2,3,0,1,1,0
1,51,1,6,0,0,8,-1,1,0,6,5,8,0,1,0
1,34,0,6,0,1,5,-1,2,0,6,5,5,0,0,0
1,28,0,10,2,0,21,-1,1,1,10,10,21,1,1,0
1,55,0,8,0,0,12,-40,40,0,8,6,12,0,1,0
1,22,0,4,1,0,3,-1,1,0,4,6,3,0,1,0
1,23,0,7,0,0,2,129,232,0,7,7,2,0,0,1
0,20,0,5,0,0,0,-1,1,0,5,7,0,0,0,0
1,22,0,3,0,0,1,-1,1,0,3,5,1,0,0,1
0,35,0,2,0,0,12,-54,55,0,2,1,12,0,1,0
1,28,0,2,0,0,1,-1,1,0,2,3,1,0,0,1
1,34,0,7,0,1,14,-1,1,0,7,5,14,0,1,0
1,42,0,2,0,0,0,-1,1,0,2,1,0,0,0,0
1,39,0,9,0,0,16,0,0,0,9,7,16,0,0,0
1,21,0,7,0,0,1,-1,1,0,7,8,1,0,0,1
1,23,0,3,0,0,1,0,0,0,3,4,1,0,0,0
1,24,0,1,0,0,0,-1,1,0,1,3,0,0,1,0
1,23,0,8,0,0,0,-1,1,1,8,8,0,1,1,1
1,46,0,2,0,0,2,-14,14,0,2,1,2,0,0,1
0,26,0,2,0,0,1,-1,1,0,2,2,1,0,0,1
1,40,0,1,0,0,0,-1,1,0,1,1,0,0,0,0
1,29,0,10,0,0,7,-1,1,0,10,8,7,0,0,1
0,41,0,3,0,0,2,-1,1,0,3,1,2,0,0,0
0,25,0,9,0,0,1,0,1599,0,9,5,1,0,1,0
1,23,0,6,0,1,1,-1,1,0,6,4,1,0,1,0
0,26,0,4,0,0,0,-1,1,0,4,6,0,0,0,0
1,35,0,5,0,0,1,-1,4272,0,5,5,1,0,1,0
1,32,0,3,0,0,0,0,1,0,3,2,0,0,0,0
1,32,1,7,0,0,2,15,353,0,7,6,2,0,1,0
1,40,0,9,0,0,15,-1,1,1,9,7,15,0,1,0
1,29,0,8,0,0,4,-1,2,1,8,9,4,0,1,0
1,39,0,1,0,0,2,-2,3,0,1,1,2,0,0,1
0,45,0,2,1,0,7,-1,0,0,2,1,7,0,0,0
1,60,0,1,0,0,2,0,1,0,1,1,2,0,1,0
1,54,0,5,0,0,4,-1,1,1,5,4,4,1,1,0
1,44,0,5,0,0,8,-1,1,0,5,2,8,0,1,0
1,34,0,1,0,0,2,-1,1,0,1,1,2,0,1,0
1,31,0,2,0,0,0,-2,3,0,2,2,0,0,1,0
1,29,0,8,0,0,29,-1,1,0,8,9,29,0,1,0
1,35,0,5,0,0,0,0,0,0,5,3,0,0,1,0
1,24,0,5,0,3,3,-1,1,1,5,4,3,1,0,0
1,23,0,5,0,0,2,-1,1,0,5,8,2,0,1,1
1,38,0,4,0,0,17,-1,1,0,4,1,17,0,1,0
1,57,0,1,0,0,0,-3,3,0,1,1,0,0,0,1
1,53,0,5,0,0,1,-29,29,0,5,3,1,0,1,0
1,28,0,3,0,0,0,-1,1,0,3,4,0,0,1,0
0,26,0,5,0,0,3,107,306,0,5,3,3,0,1,0
1,20,0,9,0,0,0,-1,1,0,9,8,0,0,1,1
1,27,0,9,0,0,5,-182,1,0,9,6,5,0,1,0
0,45,0,3,0,0,1,-1,1,0,3,1,1,0,0,0
0,45,0,10,0,0,15,-1,1,0,10,9,15,0,0,1
1,20,2,9,2,0,4,-1,1,0,9,9,4,0,1,0
1,21,0,9,0,0,0,-1,1,0,9,9,0,0,0,0
1,30,0,1,0,0,2,-83,83,0,1,2,2,0,1,0
1,33,0,5,0,0,0,0,0,0,5,6,0,0,1,0
1,23,0,4,0,0,2,-1,1,0,4,7,2,0,1,0
1,23,0,8,1,0,7,-1,1,1,8,7,7,1,1,0
0,28,0,5,0,0,1,0,0,0,5,2,1,0,0,0
1,50,0,8,0,0,26,-21,21,0,8,3,26,0,1,0
1,18,1,9,0,0,1,-23,333,0,9,10,1,0,1,0
0,41,0,8,0,0,8,0,0,0,8,4,8,0,1,0
1,44,0,5,0,0,0,-1,1,0,5,4,0,0,1,0
1,54,0,7,0,0,6,-1,1,0,7,8,6,0,1,0
1,61,0,4,0,0,2,-1,1,0,4,1,2,0,1,0
1,28,0,8,0,0,7,0,1,0,8,8,7,0,1,0
1,56,0,9,0,0,22,-1,1,0,9,5,22,0,1,0
1,20,1,10,0,1,1,-47,47,0,10,9,1,0,1,1
1,37,0,4,0,0,4,-1,1,0,4,4,4,0,0,0
1,38,0,3,0,0,2,-1,1,0,3,3,2,0,0,1
1,29,0,3,0,0,11,-1,1,0,3,4,11,0,1,0
1,19,0,9,0,0,0,-1,1,0,9,8,0,0,1,0
1,26,0,1,0,0,0,-1,1,0,1,3,0,0,1,0
1,51,0,1,0,0,4,-28,28,0,1,2,4,0,1,0
1,58,0,2,0,0,0,-1,1,0,2,1,0,0,1,0
1,50,0,1,0,0,0,-1,1,0,1,1,0,0,0,0
1,31,0,3,0,0,1,0,0,0,3,2,1,0,1,0
1,34,0,3,0,0,2,-12,12,0,3,2,2,0,1,0
1,28,0,2,0,0,0,-1,1,0,2,3,0,0,0,0
0,33,0,4,0,0,3,0,1,0,4,2,3,0,1,0
1,29,0,6,0,0,6,67,93,0,6,4,6,0,1,1
1,32,2,9,0,1,15,-1,1,0,9,6,15,0,0,0
0,45,0,9,0,0,0,-1,1,0,9,2,0,0,0,1
0,54,0,1,0,0,0,0,1,0,1,1,0,0,0,0
1,22,0,7,0,1,1,0,0,0,7,8,1,0,1,0
1,27,0,1,0,0,0,-1,1,0,1,2,0,0,1,0
1,45,0,1,0,0,1,-11,12,0,1,2,1,0,0,1
0,41,0,2,0,0,1,0,0,0,2,1,1,0,0,0
1,28,0,2,0,0,1,-1,1,0,2,2,1,0,1,0
1,22,0,9,0,0,1,-1,1,0,9,8,1,0,1,0
1,41,2,3,0,0,6,-1,1,1,3,2,6,0,1,0
1,32,2,8,0,0,15,-1,1,0,8,5,15,0,1,1
0,31,0,3,0,0,1,0,1,0,3,1,1,0,1,1
1,30,0,8,2,2,11,-1,1,0,8,3,11,0,1,1
1,36,0,2,0,0,1,-29,29,0,2,2,1,0,0,0
0,41,0,1,0,0,0,0,1,0,1,1,0,0,1,0
1,28,0,8,0,0,8,407,70,0,8,6,8,0,1,0
1,21,0,7,0,0,2,-1,1,0,7,9,2,0,1,0
1,26,0,8,0,0,6,0,0,0,8,6,6,0,1,0
0,38,0,10,0,0,0,-1,1,0,10,5,0,0,1,1
1,34,0,8,0,0,0,-1,1,0,8,6,0,0,1,0
1,27,0,3,0,0,3,-15,15,0,3,5,3,0,1,0
0,23,0,9,0,0,7,-1,1,0,9,5,7,0,0,1
1,34,0,2,0,0,0,-1,1,0,2,1,0,0,0,0
0,23,0,2,0,0,1,-1,1,0,2,3,1,0,1,0
1,36,0,5,0,0,16,0,0,0,5,3,16,0,1,1
0,27,0,4,0,0,1,-66,66,0,4,3,1,0,0,0
0,66,0,8,0,0,11,-1,1,0,8,2,11,0,1,0
0,20,0,8,0,0,0,-1,1,0,8,9,0,0,0,0
1,54,0,5,0,0,10,0,0,0,5,2,10,0,0,0
1,58,0,1,0,0,0,-1,2,0,1,1,0,0,0,0
1,34,0,7,0,0,8,-1,1,0,7,3,8,0,1,0
1,69,0,1,0,0,6,235,117,0,1,2,6,0,0,0
0,24,0,7,0,0,0,-1,1,0,7,5,0,0,1,0
0,26,0,4,0,0,0,-1,1,0,4,6,0,0,0,0
0,36,0,5,0,0,3,-1,1,0,5,3,3,0,0,1
1,24,0,2,0,1,0,-1,1,0,2,4,0,0,1,0
0,27,0,7,0,0,12,-1,1,0,7,5,12,0,1,0
0,49,0,7,0,0,14,-1,1,0,7,3,14,0,1,0
1,27,0,3,0,0,3,-1,1,0,3,2,3,0,1,0
1,22,0,8,1,0,1,-1,1,0,8,6,1,0,0,1
1,59,0,9,0,0,9,-91,1,0,9,4,9,0,1,0
1,31,1,8,1,1,12,-1,1,0,8,5,12,0,1,0
0,52,0,1,0,0,6,-13,13,0,1,1,6,0,0,0
0,32,0,6,0,0,3,-1,1,0,6,4,3,0,1,0
1,29,0,9,0,0,0,-1,1,0,9,10,0,0,1,0
1,32,1,10,2,0,17,84,0,0,10,10,17,0,1,0
1,23,0,8,0,0,0,0,0,1,8,9,0,1,0,0
1,26,0,8,0,0,4,-1,1,0,8,4,4,0,1,0
1,27,2,8,0,0,6,-1,1,0,8,8,6,0,1,0
1,54,0,4,0,0,5,0,0,0,4,1,5,0,0,0
1,49,0,1,0,0,2,-1,1,0,1,1,2,0,0,0
1,20,0,6,0,0,2,-2,2,0,6,7,2,0,0,0
1,66,0,3,0,0,2,-1,1,0,3,1,2,0,0,0
0,30,0,3,0,1,1,-1,1,0,3,3,1,0,0,0
1,29,3,9,0,1,4,-1,1,0,9,6,4,0,1,0
1,41,0,9,1,0,10,0,0,0,9,7,10,0,1,0
1,49,0,1,0,0,5,-139,139,0,1,1,5,0,1,0
1,22,0,8,0,0,0,-1,1,0,8,9,0,0,1,0
1,36,0,6,0,0,0,-1,1,0,6,1,0,0,1,0
1,31,0,2,0,0,0,-1,1,0,2,1,0,0,1,0
1,26,0,2,0,0,1,0,0,1,2,3,1,0,0,0
1,47,0,1,0,0,1,-23,23,0,1,1,1,0,1,0
1,74,0,1,0,0,0,-1,1,0,1,1,0,0,0,1
1,24,0,2,0,0,1,-13,13,0,2,4,1,0,1,1
1,43,0,1,0,0,0,-1,1,0,1,1,0,0,0,0
1,21,0,9,0,0,4,-1,0,0,9,6,4,0,1,0
1,23,0,6,0,0,0,-1,1,0,6,5,0,0,1,0
0,25,0,3,0,0,0,-1,1,0,3,3,0,0,0,0
1,42,0,7,0,0,2,-1,1,0,7,8,2,0,0,0
1,22,0,6,0,0,1,-1,1,1,6,6,1,1,1,1
1,27,0,6,1,0,6,0,0,0,6,3,6,0,1,0
1,20,0,10,0,0,1,34,108,0,10,8,1,0,1,0
0,23,0,4,0,0,1,-1,1,0,4,4,1,0,1,0
0,25,0,8,0,0,1,-1,1,1,8,3,1,1,1,0
1,30,0,3,0,0,2,-1,1,0,3,2,2,0,0,1
1,52,0,1,0,0,1,-1,1,0,1,1,1,0,0,0
1,38,0,2,0,0,0,-1,1,0,2,2,0,0,0,0
1,22,0,9,1,0,1,-1,1,0,9,9,1,0,1,0
0,35,0,5,0,0,4,-1,1,0,5,3,4,0,1,0
1,25,0,7,0,0,6,39,55,1,7,5,6,1,0,0
0,22,0,9,0,0,3,-1,1,0,9,4,3,0,0,1
1,23,0,9,0,1,5,-1,1,1,9,9,5,1,1,1
1,43,0,2,0,0,4,-21,21,0,2,3,4,0,1,1
1,26,0,7,0,1,9,0,0,0,7,5,9,0,1,1
1,27,0,3,0,0,8,-1,1,1,3,3,8,0,1,0
1,30,3,4,0,0,4,0,0,0,4,4,4,0,0,0
1,25,0,5,0,0,2,-1,1,1,5,3,2,1,1,1
1,31,0,6,0,0,0,-1,1,0,6,3,0,0,1,0
1,23,0,8,1,0,2,-1,1,0,8,8,2,0,0,0
1,36,0,6,0,0,4,-4,4,0,6,2,4,0,1,0
1,30,0,9,0,0,9,0,0,0,9,10,9,0,0,1
1,37,0,5,0,0,6,-1,1,1,5,2,6,1,1,1
1,24,0,7,0,0,7,49,112,0,7,7,7,0,1,0
1,51,0,6,0,0,3,-1,1,0,6,3,3,0,0,0
1,50,0,1,0,0,12,-22,22,0,1,1,12,0,1,1
1,35,0,5,0,0,3,-1,1,1,5,3,3,1,0,0
0,54,0,1,0,0,0,-1,1,0,1,1,0,0,1,0
1,24,0,3,0,0,1,-1,1,0,3,5,1,0,1,1
1,28,0,7,0,0,4,0,0,0,7,6,4,0,1,0
1,34,0,7,0,0,1,0,1,0,7,2,1,0,1,0
1,25,0,6,0,0,6,-1,1,0,6,5,6,0,1,1
0,44,0,5,0,0,10,-1,1,0,5,2,10,0,0,0
0,51,0,3,0,0,1,-8,8,0,3,1,1,0,0,0
1,42,0,3,0,0,0,-1,1,0,3,1,0,0,0,0
1,20,0,3,0,0,2,-17,17,1,3,5,2,1,1,0
1,27,0,6,0,0,6,1026,222,0,6,6,6,0,1,0
0,38,0,5,0,0,2,-35,35,0,5,2,2,0,0,0
1,29,0,10,0,0,5,-1,1,0,10,8,5,0,1,0
1,32,0,9,0,0,0,-1,1,0,9,4,0,0,1,1
1,41,1,10,1,0,24,-1,1,1,10,3,24,0,1,0
1,41,0,6,0,0,14,0,0,0,6,3,14,0,1,0
1,21,0,7,0,0,1,-1,1,0,7,8,1,0,1,0
1,22,0,3,0,0,1,-27,27,0,3,4,1,0,0,1
1,33,0,1,0,0,0,-1,1,0,1,1,0,0,0,0
1,41,0,3,0,0,6,-1,1,0,3,4,6,0,1,0
0,35,0,10,1,1,16,-1,1,0,10,4,16,0,1,1
1,33,0,2,0,0,1,-190,190,0,2,2,1,0,1,0
1,20,1,5,0,1,1,3,22,0,5,8,1,0,1,0
0,28,0,9,0,0,1,-1,1,0,9,7,1,0,1,0
1,44,0,7,0,0,24,53,31,0,7,3,24,0,1,0
1,29,0,5,0,0,2,-1,1,0,5,2,2,0,1,0
0,37,0,3,0,0,0,-1,1,0,3,1,0,0,0,0
1,37,0,3,0,0,0,-1,1,0,3,1,0,0,1,1
1,26,0,8,0,0,11,64,150,1,8,5,11,1,0,0
1,29,1,8,0,1,9,-1,1,0,8,7,9,0,0,0
1,33,0,7,0,0,0,-1,1,0,7,4,0,0,0,0
1,46,0,6,0,0,3,-33,33,0,6,7,3,0,1,0
1,51,0,6,0,0,33,-1,1,0,6,5,33,0,1,0
1,36,0,6,0,0,11,-1,1,0,6,7,11,0,1,1
1,20,0,10,0,0,0,-1,1,0,10,9,0,0,1,0
0,32,0,2,0,0,0,-1,1,0,2,1,0,0,1,0
1,28,0,2,0,0,4,-1,1,1,2,3,4,1,1,0
1,45,0,5,0,0,5,-4,4,0,5,3,5,0,0,1
1,41,0,4,0,0,1,-1,1,0,4,3,1,0,1,0
1,25,0,9,0,0,6,210,0,0,9,9,6,0,1,0
1,59,0,1,0,0,0,-1,1,0,1,1,0,0,1,0
1,68,0,1,0,0,1,-27,27,0,1,1,1,0,0,0
1,47,0,4,0,0,4,-1,1,0,4,4,4,0,1,0
1,69,0,1,0,0,1,-1,1,0,1,1,1,0,1,1
1,28,0,2,0,0,1,-1,1,0,2,2,1,0,0,1
1,21,0,10,0,0,2,0,0,0,10,6,2,0,1,0
1,32,0,9,0,0,13,-1,1,0,9,8,13,0,1,0
1,41,2,3,0,0,6,-1,1,1,3,2,6,1,1,0
0,42,3,10,0,0,17,-8,8,0,10,7,17,0,1,0
1,36,0,3,0,0,4,-1,1,0,3,3,4,0,0,1
0,36,0,4,0,1,3,0,0,0,4,1,3,0,0,0
